iShares Russell 2000 ETF
Fund Holdings as of,"Sep 14, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"277,550,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"UMBF","UMB FINANCIAL","Financials","Equity","271,856,284.02","0.34","271,856,284.02","1,945,026.00","139.77","United States","NASDAQ","USD","1.00","USD","-"
"MOG A","MOOG INC CLASS A","Industrials","Equity","270,778,255.60","0.34","270,778,255.60","747,160.00","362.41","United States","NYSE","USD","1.00","USD","-"
"FROG","JFROG","Information Technology","Equity","264,733,056.00","0.33","264,733,056.00","2,846,592.00","93.00","United States","NASDAQ","USD","1.00","USD","-"
"GKOS","GLAUKOS","Health Care","Equity","257,164,352.46","0.32","257,164,352.46","1,503,094.00","171.09","United States","NYSE","USD","1.00","USD","-"
"BTSG","BRIGHTSPRING HEALTH SERVICES INC","Health Care","Equity","256,848,151.50","0.32","256,848,151.50","4,259,505.00","60.30","United States","NASDAQ","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","254,749,499.04","0.32","254,749,499.04","254,749,499.00","1.00","United States","-","USD","1.00","USD","-"
"CYTK","CYTOKINETICS","Health Care","Equity","249,575,107.95","0.31","249,575,107.95","3,444,791.00","72.45","United States","NASDAQ","USD","1.00","USD","-"
"SM","SM ENERGY","Energy","Equity","248,373,571.74","0.31","248,373,571.74","6,363,658.00","39.03","United States","NYSE","USD","1.00","USD","-"
"HUT","HUT CORP","Information Technology","Equity","245,819,712.06","0.31","245,819,712.06","2,697,462.00","91.13","United States","NASDAQ","USD","1.00","USD","-"
"EAT","BRINKER INTERNATIONAL INC","Consumer Discretionary","Equity","242,712,667.84","0.30","242,712,667.84","1,133,324.00","214.16","United States","NYSE","USD","1.00","USD","-"
"ONB","OLD NATIONAL BANCORP","Financials","Equity","239,469,159.90","0.30","239,469,159.90","9,260,215.00","25.86","United States","NASDAQ","USD","1.00","USD","-"
